pre_gained,pre_mins,pre_hours,temp,grad_mean,dur,length,vam,kph,score,pre_score,cat
34,5,0,11.0,5,67,259,698,13.9,1295,0,-
65,7,0,11.0,8,310,795,743,9.2,6360,1295,-
141,12,0,11.0,6,181,536,656,10.6,3216,7655,-
179,15,0,11.0,3,125,613,633,17.6,1839,10871,-
226,19,0,11.0,5,124,421,725,12.2,2105,12710,-
255,21,0,11.0,15,61,146,1357,8.6,2190,14815,-
376,29,0,10.626373626373626,1,90,569,360,22.7,569,17005,-
8,1,0,11.0,8,81,220,844,9.7,1760,0,-
49,4,0,11.0,6,90,271,720,10.8,1626,1760,-
134,13,0,11.0,7,76,286,994,13.5,2002,3386,-
187,17,0,11.0,5,91,369,791,14.5,1845,5388,-
231,20,0,11.0,5,62,278,870,16.1,1390,7233,-
267,22,0,11.0,4,62,319,812,18.5,1276,8623,-
311,26,0,11.0,3,140,677,591,17.4,2031,9899,-
338,28,0,11.0,2,71,293,405,14.8,586,11930,-
375,31,0,10.0,5,78,284,738,13.1,1420,12516,-
407,34,0,10.0,4,86,301,627,12.6,1204,13936,-
425,35,0,10.0,6,80,321,900,14.4,1926,15140,-
451,37,0,10.0,4,197,764,603,13.9,3056,17066,-
488,41,0,10.0,3,295,1084,488,13.2,3252,20122,-
535,46,0,10.0,4,100,368,540,13.2,1472,23374,-
588,53,0,10.0,3,212,982,509,16.6,2946,24846,-
661,66,1,10.0,8,69,186,782,9.7,1488,27792,-
682,67,1,10.0,7,93,303,851,11.7,2121,29280,-
753,74,1,10.0,1,131,740,357,20.3,740,31401,-
806,79,1,10.0,11,174,306,703,6.3,3366,32141,-
843,82,1,10.0,14,91,159,909,6.2,2226,35507,-
868,84,1,10.0,8,111,264,745,8.5,2112,37733,-
914,91,1,10.0,13,490,832,830,6.1,10816,39845,4
1102,106,1,10.0,9,541,1133,712,7.5,10197,50661,4
1297,127,2,11.0,8,111,263,745,8.5,2104,60858,-
1330,129,2,11.0,6,77,214,654,10.0,1284,62962,-
1356,131,2,11.0,8,150,322,624,7.7,2576,64246,-
1410,142,2,11.0,4,67,250,591,13.4,1000,66822,-
1451,147,2,11.0,3,285,1124,492,14.1,3372,67822,-
1515,155,2,10.0,8,137,234,551,6.1,1872,71194,-
1538,157,2,10.0,3,269,983,428,13.1,2949,73066,-
1582,163,2,10.0,3,61,245,472,14.4,735,76015,-
1593,164,2,10.0,4,123,453,556,13.2,1812,76750,-
1618,167,2,10.0,6,168,526,750,11.2,3156,78562,-
1725,186,3,10.0,7,75,192,720,9.2,1344,81718,-
1809,194,3,10.0,4,273,970,606,12.7,3880,83062,-
1981,210,3,10.0,2,67,350,537,18.8,700,86942,-
2007,213,3,11.0,7,66,154,654,8.4,1078,87642,-
2049,215,3,11.0,5,196,628,624,11.5,3140,88720,-
2092,219,3,11.0,7,432,1128,683,9.3,7896,91860,-
2241,235,3,11.0,7,175,466,740,9.5,3262,99756,-
2292,239,3,11.0,4,305,892,519,10.5,3568,103018,-
2353,245,4,11.0,3,68,97,158,5.1,291,106586,-
2357,248,4,11.0,4,75,231,480,11.0,924,106877,-
2371,249,4,11.0,2,217,954,398,15.8,1908,107801,-
2405,253,4,11.0,4,65,208,553,11.5,832,109709,-
2437,256,4,11.0,4,229,797,550,12.5,3188,110541,-
2505,266,4,11.0,3,69,290,521,15.1,870,113729,-
2525,268,4,11.0,1,93,467,348,18.0,467,114599,-
2553,273,4,10.0,2,134,597,349,16.0,1194,115066,-
2569,276,4,10.0,2,65,310,443,17.1,620,116260,-
2583,278,4,10.0,6,83,274,737,11.8,1644,116880,-
2646,295,4,10.0,8,213,410,591,6.9,3280,118524,-
2709,304,5,11.0,5,80,180,405,8.1,900,121804,-
2745,311,5,11.0,7,67,204,859,10.9,1428,122704,-
2779,313,5,11.0,6,80,215,675,9.6,1290,124132,-
